20011055,85539,1026769,785929,1943152,1595313,241100,90474,173169,39872042,2348457621,282533,130882,1524485,1185284,313084,387875,1848520,2060783,86349,763712,408222,887270,323511,2416457,1004335,235697,176660,970847,76700,723397,256236,1471033,8757942,51854,1578622,580430,167752,1190713,62115,16681662,85188,22635893,4575520,668456,34452,2433710,415648,373653,405835,197842,107457
75422,224997,540003,28740,2725306,424298,34142,15571,16987,345511,183210,301366005,117598,223812,92207,72134,60832,59581,59899,14868,71431,82766,135292,158035,44387,137840,71196,85423,1091584,16442,78366,49568,170376,155109,16858,132201,135694,572290,76566,14329,80097,12628,96235,674434,384932,7742,173720,1053712,11305,97481,12697,5446
68041,81163,1455569,66011,2517890,642716,15080,4219,14651,667462,151800,389970,329993411,151924,104009,132687,95237,56056,68953,13673,52023,23258,82355,92358,51736,199722,1024752,186352,1519177,9812,23233,154260,68114,120053,114252,94619,130344,3350302,79912,3287,73472,73939,130789,818131,5950501,5213,112091,7124069,10571,65698,863588,4228
2141519,58146,4814978,1207124,3654879,2684627,192189,57630,242920,24268259,3337257,760586,179195,2612728888,25719764,17247817,1166227,5922657,1012933,69873,525910,450982,5110070,2088959,1080555,30294167,273429,926479,1751292,77180,559123,432595,1191359,1609909,199621,4102207,1074135,324443,1508783,50025,1583731,247320,5524389,5831691,657625,49248,1069477,541456,307629,20629604,285751,108669
1930514,29862,1427026,473387,1068889,828008,65951,37153,93255,17452322,2572449,239170,70191,18906264,1407830421,551937,292043,15461709,405598,26279,266207,135924,6689475,423971,393413,2282106,91734,189398,710995,28635,230349,187385,548415,1115508,57910,11452368,413769,116293,838363,15219,1260021,82639,5037865,2318385,245673,16965,660847,187583,317068,1102218,83014,33002
399571,12220,1595305,296857,498177,867456,24617,11346,15764,4224416,416176,145064,51920,7495993,562446,652435038,1015926,276668,159732,23799,69419,27445,274324,4466364,212545,3925217,76614,9978258,389018,14098,49680,136609,110924,350572,137017,497553,837835,85780,156050,4888,212681,2529996,760676,1563225,148664,7365,179827,137964,67590,2855883,127890,13617
361906,20541,952601,956761,665314,2394937,15370,8405,25636,2220002,404732,109916,74573,961086,340289,929864,617269797,269767,303994,11437,63974,41004,167651,292615,233473,24553194,55716,2033276,296145,11858,51600,362001,143260,262827,56097,231066,5533098,99374,149605,8772,184096,158453,526564,3522932,167794,3855,166951,178727,34971,165596,116706,10938
2023527,24872,451952,483493,535508,525953,39990,20798,71580,8002310,3499043,95612,39613,2241545,13047873,201806,197318,945592629,406109,19192,223133,85195,775949,179855,553015,1269333,51851,108360,294040,19436,130087,126776,337579,1234480,19216,13251491,292445,52005,676581,11849,1213144,40347,15554936,1443067,166300,7184,1272016,111061,2511370,231142,61037,21467
3525605,33053,441767,3319238,762259,988688,37858,19020,31950,5187596,1677846,79315,46631,495260,304078,142557,247956,331250,1117362356,23095,112006,95149,208431,132635,11516705,809551,93471,88507,357419,17644,134231,298681,263917,600152,46822,315739,870083,95155,271672,10974,356545,34109,1837292,20363820,243280,12661,409374,169827,82297,122173,87139,15248
52034,7221,85472,18618,122724,66341,374681,20525,28475,1930967,160262,19367,22128,74440,48293,69950,21072,37323,35708,236419064,85842,2305224,60134,34184,33595,47252,15325,9373,33676,4670132,204864,19786,594478,231389,5298,121421,24548,17247,269329,171222,184976,4681,97577,207055,21737,181903,279169,26907,32136,226921,10362,3990
430758,26424,497824,128455,1051389,569256,370024,10554347,19004949,8262354,1666967,140986,47152,480037,411602,118991,92487,289847,362130,100455,1068512256,991496,531584,115916,167951,281387,70380,60585,325343,89525,2457523,98158,2565812,3570557,19576,1111461,147664,92508,12591729,95077,2441254,37652,907576,1494303,271706,130646,22961300,159992,4108368,171913,55764,79112
175642,18914,367935,55369,1052669,372871,8781718,126941,371013,9836831,676010,179661,35680,433154,234000,73671,73894,121485,187075,3021244,938076,1184993856,298092,105375,66400,160909,50264,52076,178475,17723034,1512538,52000,5576206,989378,15836,523198,77472,71916,1311673,11122261,996592,13826,328095,958954,220656,1786092,1037670,165607,75639,133841,46300,233224
